Reg.-Nr.	Gebiet	Bereich	Leitgemeinde	Wiki-ID (Leitgemeinde)	Großlage	Einzellage	ha	über NN	Neigung	Exposition
6							9080	65-380		
6, 1	Mosel	Bernkastel					5984	90-320		
6.1.1	Mosel	Bernkastel	Bernkastel	Q155622	Badstube		55	125-250		
6.1.1.001	Mosel	Bernkastel	Bernkastel	Q155622	Badstube	Bratenh�fchen	18	130-250	hängig-steil	WSW
6.1.1.002	Mosel	Bernkastel	Bernkastel	Q155622	Badstube	Doctor	3	125-200	steil	S-SSW
6.1.1.003	Mosel	Bernkastel	Bernkastel	Q155622	Badstube	Graben	12	125-225	hängig-steil	WSW
6.1.1.004	Mosel	Bernkastel	Bernkastel	Q155622	Badstube	Lay	10	115-135	steil	WSW
6.1.1.005	Mosel	Bernkastel	Bernkastel	Q155622	Badstube	Matheisbildchen	10	135-190	hängig-steil	WSW
6.1.1.006	Mosel	Bernkastel	Bernkastel	Q155622	Badstube	Alte Badstube am Doktorberg	2			
6.1.2	Mosel	Bernkastel	Bernkastel	Q155622	Kurfürstenlay		1352	105-320		
6.1.2.007	Mosel	Bernkastel	Bernkastel	Q155622	Kurfürstenlay	Schloßberg	23	120-300	hängig-steil	SW-W
6.1.2.008	Mosel	Bernkastel	Bernkastel	Q155622	Kurfürstenlay	Johannisbrünnchen	12	150-300	steil	SWS-W
6.1.2.009	Mosel	Bernkastel	Kues	Q155622	Kurfürstenlay	Kardinalsberg	56	110-240	hängig-steil	S
6.1.2.010	Mosel	Bernkastel	Kues	Q155622	Kurfürstenlay	Rosenberg	6	130-250	hängig-steil	OSO
6.1.2.011	Mosel	Bernkastel	Kues	Q155622	Kurfürstenlay	Weisenstein	15	110-150	hängig-steil	SSW
6.1.2.012	Mosel	Bernkastel	Brauneberg	Q567156	Kurfürstenlay	Juffer	32	110-240	steil	SSO
6.1.2.013	Mosel	Bernkastel	Brauneberg	Q567156	Kurfürstenlay	Juffer Sonnenuhr	11	110-240	steil	SSO
6.1.2.014	Mosel	Bernkastel	Brauneberg	Q567156	Kurfürstenlay	Kammer	1	105-195	hängig-steil	SSO
6.1.2.015	Mosel	Bernkastel	Brauneberg	Q567156	Kurfürstenlay	Klostergarten	53	160-260	hängig	W-WNW
6.1.2.016	Mosel	Bernkastel	Brauneberg	Q567156	Kurfürstenlay	Mandelgraben	122	120-250	hängig-steil	SO
6.1.2.017	Mosel	Bernkastel	Burgen	Q679415	Kurfürstenlay	Hasenläufer	30	180-200	hängig-steil	W
6.1.2.018	Mosel	Bernkastel	Burgen	Q679415	Kurfürstenlay	Kirchberg	17	180-240	hängig-steil	OSO
6.1.2.019	Mosel	Bernkastel	Burgen	Q679415	Kurfürstenlay	Römerberg	7	190-240	steil	SO
6.1.2.020	Mosel	Bernkastel	Kesten	Q569300	Kurfürstenlay	Herrenberg	61	110-300	hängig-steil	O-S
6.1.2.021	Mosel	Bernkastel	Kesten	Q569300	Kurfürstenlay	Paulinsberg	36	120-220	hängig-steil	O-S
6.1.2.022	Mosel	Bernkastel	Kesten	Q569300	Kurfürstenlay	Paulinshofberger	16	125-220	steil	SSO
6.1.2.023	Mosel	Bernkastel	Lieser	Q646892	Kurfürstenlay	Schloßberg	85	130-240	hängig-steil	SW+S+ON
6.1.2.024	Mosel	Bernkastel	Maring-Noviand	Q566744	Kurfürstenlay	Honigberg	56	150-260	hängig-steil	SSO-SSW
6.1.2.025	Mosel	Bernkastel	Maring-Noviand	Q566744	Kurfürstenlay	Klosterberg	27	160-260	hängig-steil	SSO
