LN	WLV-ID	LWK-RLP (Lagennr.)	DWI (Reg.Nr.)	Weinlagen (ID)	Status	Typ	Gebiet	Bereich	Leitgemeinde	Wikidata-ID (Leitgemeinde)	Gemarkung	Großlage	Wikidata-ID (Großlage)	Ort	Wikidata-ID (Ort)	Einzellage	Wikidata-ID (Einzellage)	Rebfläche (DWI, 2006)	Rebfläche (LWK-RLP, 2020)	über NN (DWI)	Neigung (DWI)	Exposition (DWI)	Boden (DWI)	DWI-2006	LWK-RLP-2020	Weinlagen-2022	DFWS-2022
1	wlv-600000		6		aktuell	Gebiet	Mosel	k.A.	k.A.	k.A.	k.A.	k.A.		k.A.	k.A.	k.A.		9080		65-380				1			
2	wlv-610000		6.1		aktuell	Bereich	Mosel	Bernkastel	k.A.	k.A.	k.A.	k.A.		k.A.	k.A.	k.A.		5984		90-320				1			
3	wlv-611000		6.1.1		aktuell	Großlage	Mosel	Bernkastel	Bernkastel	Q155622	k.A.	Badstube		k.A.	k.A.	k.A.		55		125-250				1			
4	wlv-611001	410101	6.1.1.001		aktuell	Einzellage	Mosel	Bernkastel	Bernkastel	Q155622	Bernkastel	Badstube		k.A.	k.A.	Bratenhöfchen		18	15.9	130-250	hängig-steil	WSW	steiniger Tonschiefer	1	1		
5	wlv-611002		6.1.1.002		aktuell	Einzellage	Mosel	Bernkastel	Bernkastel	Q155622		Badstube		k.A.	k.A.	Doctor		3		125-200	steil	S-SSW		1			
6	wlv-611003		6.1.1.003		aktuell	Einzellage	Mosel	Bernkastel	Bernkastel	Q155622		Badstube		k.A.	k.A.	Graben		12		125-225	hängig-steil	WSW		1			
7	wlv-611004		6.1.1.004		aktuell	Einzellage	Mosel	Bernkastel	Bernkastel	Q155622		Badstube		k.A.	k.A.	Lay		10		115-135	steil	WSW		1			
8	wlv-611005		6.1.1.005		aktuell	Einzellage	Mosel	Bernkastel	Bernkastel	Q155622		Badstube		k.A.	k.A.	Matheisbildchen		10		135-190	hängig-steil	WSW		1			
9	wlv-611006		6.1.1.006		aktuell	Einzellage	Mosel	Bernkastel	Bernkastel	Q155622		Badstube		k.A.	k.A.	Alte Badstube am Doktorberg		2						1			
10	wlv-612000		6.1.2		aktuell	Großlage	Mosel	Bernkastel	Bernkastel	Q155622		Kurfürstenlay		k.A.	k.A.	k.A.		1352		105-320				1			
11	wlv-612007		6.1.2.007		aktuell	Einzellage	Mosel	Bernkastel	Bernkastel	Q155622		Kurfürstenlay		k.A.	k.A.	Schloßberg		23		120-300	hängig-steil	SW-W		1			
12	wlv-612008		6.1.2.008		aktuell	Einzellage	Mosel	Bernkastel	Bernkastel	Q155622		Kurfürstenlay		k.A.	k.A.	Johannisbrünnchen		12		150-300	steil	SWS-W		1			
13	wlv-612009		6.1.2.009		aktuell	Einzellage	Mosel	Bernkastel	Kues	Q155622		Kurfürstenlay		k.A.	k.A.	Kardinalsberg		56		110-240	hängig-steil	S		1			
14	wlv-612010		6.1.2.010		aktuell	Einzellage	Mosel	Bernkastel	Kues	Q155622		Kurfürstenlay		k.A.	k.A.	Rosenberg		6		130-250	hängig-steil	OSO		1			
15	wlv-612011		6.1.2.011		aktuell	Einzellage	Mosel	Bernkastel	Kues	Q155622		Kurfürstenlay		k.A.	k.A.	Weisenstein		15		110-150	hängig-steil	SSW		1			
16	wlv-612012		6.1.2.012		aktuell	Einzellage	Mosel	Bernkastel	Brauneberg	Q567156		Kurfürstenlay		k.A.	k.A.	Juffer		32		110-240	steil	SSO		1			
17	wlv-612013		6.1.2.013		aktuell	Einzellage	Mosel	Bernkastel	Brauneberg	Q567156		Kurfürstenlay		k.A.	k.A.	Juffer Sonnenuhr		11		110-240	steil	SSO		1			
18	wlv-612014		6.1.2.014		aktuell	Einzellage	Mosel	Bernkastel	Brauneberg	Q567156		Kurfürstenlay		k.A.	k.A.	Kammer		1		105-195	hängig-steil	SSO		1			
19	wlv-612015		6.1.2.015		aktuell	Einzellage	Mosel	Bernkastel	Brauneberg	Q567156		Kurfürstenlay		k.A.	k.A.	Klostergarten		53		160-260	hängig	W-WNW		1			
20	wlv-612016		6.1.2.016		aktuell	Einzellage	Mosel	Bernkastel	Brauneberg	Q567156		Kurfürstenlay		k.A.	k.A.	Mandelgraben		122		120-250	hängig-steil	SO		1			
21	wlv-612017		6.1.2.017		aktuell	Einzellage	Mosel	Bernkastel	Burgen	Q679415		Kurfürstenlay		k.A.	k.A.	Hasenläufer		30		180-200	hängig-steil	W		1			
22	wlv-612018		6.1.2.018		aktuell	Einzellage	Mosel	Bernkastel	Burgen	Q679415		Kurfürstenlay		k.A.	k.A.	Kirchberg		17		180-240	hängig-steil	OSO		1			
23	wlv-612019		6.1.2.019		aktuell	Einzellage	Mosel	Bernkastel	Burgen	Q679415		Kurfürstenlay		k.A.	k.A.	Römerberg		7		190-240	steil	SO		1			
24	wlv-612020		6.1.2.020		aktuell	Einzellage	Mosel	Bernkastel	Kesten	Q569300		Kurfürstenlay		k.A.	k.A.	Herrenberg		61		110-300	hängig-steil	O-S		1			
25	wlv-612021		6.1.2.021		aktuell	Einzellage	Mosel	Bernkastel	Kesten	Q569300		Kurfürstenlay		k.A.	k.A.	Paulinsberg		36		120-220	hängig-steil	O-S		1			
26	wlv-612022		6.1.2.022		aktuell	Einzellage	Mosel	Bernkastel	Kesten	Q569300		Kurfürstenlay		k.A.	k.A.	Paulinshofberger		16		125-220	steil	SSO		1			
27	wlv-612023		6.1.2.023		aktuell	Einzellage	Mosel	Bernkastel	Lieser	Q646892		Kurfürstenlay		k.A.	k.A.	Schloßberg		85		130-240	hängig-steil	SW+S+ON		1			
28	wlv-612024		6.1.2.024		aktuell	Einzellage	Mosel	Bernkastel	Maring-Noviand	Q566744		Kurfürstenlay		k.A.	k.A.	Honigberg		56		150-260	hängig-steil	SSO-SSW		1			
29	wlv-612025		6.1.2.025		aktuell	Einzellage	Mosel	Bernkastel	Maring-Noviand	Q566744		Kurfürstenlay		k.A.	k.A.	Klosterberg		27		160-260	hängig-steil	SSO		1			
30	wlv-612026		6.1.2.026		aktuell	Einzellage	Mosel	Bernkastel	Maring-Noviand	Q566744		Kurfürstenlay		k.A.	k.A.	Römerpfad		24		130-150	hängig-steil	S		1			
31	wlv-612027		6.1.2.027		aktuell	Einzellage	Mosel	Bernkastel	Maring-Noviand	Q566744		Kurfürstenlay		k.A.	k.A.	Sonnenuhr		35		140-240	hängig-steil	SW		1			
32	wlv-612028		6.1.2.028		aktuell	Einzellage	Mosel	Bernkastel	Mühlheim	Q667192		Kurfürstenlay		k.A.	k.A.	Amtgarten		1		110-113	hängig	NW		1			
33	wlv-612029		6.1.2.029		aktuell	Einzellage	Mosel	Bernkastel	Mühlheim	Q667192		Kurfürstenlay		k.A.	k.A.	Elisenberg		4		180-210	hängig-steil	SW		1			
34	wlv-612030		6.1.2.030		aktuell	Einzellage	Mosel	Bernkastel	Mühlheim	Q667192		Kurfürstenlay		k.A.	k.A.	Helenenkloster		1		125-140	hängig	SW		1			
35	wlv-612031		6.1.2.031		aktuell	Einzellage	Mosel	Bernkastel	Mühlheim	Q667192		Kurfürstenlay		k.A.	k.A.	Sonnenlay		52		130-260	hängig-steil	W		1			
36	wlv-612032		6.1.2.032		aktuell	Einzellage	Mosel	Bernkastel	Monzel	Q648793		Kurfürstenlay		k.A.	k.A.	Kätzchen		81		150-300	hängig-steil	S		1			
37	wlv-612033		6.1.2.033		aktuell	Einzellage	Mosel	Bernkastel	Osann	Q648793		Kurfürstenlay		k.A.	k.A.	Kirchlay		18		221-255	hängig-steil	S-SSW		1			
38	wlv-612034		6.1.2.034		aktuell	Einzellage	Mosel	Bernkastel	Monzel	Q648793		Kurfürstenlay		k.A.	k.A.	Paulinslay		33		160-320	hängig	NW		1			
39	wlv-612035		6.1.2.035		aktuell	Einzellage	Mosel	Bernkastel	Osann	Q648793		Kurfürstenlay		k.A.	k.A.	Rosenberg		92		160-320	hängig-steil	S-WSW		1			
40	wlv-612036		6.1.2.036		aktuell	Einzellage	Mosel	Bernkastel	Veldenz	Q569812		Kurfürstenlay		k.A.	k.A.	Carlsberg		1		140-150	hängig	SW		1			
41	wlv-612037		6.1.2.037		aktuell	Einzellage	Mosel	Bernkastel	Veldenz	Q569812		Kurfürstenlay		k.A.	k.A.	Grafschafter Sonnenberg		30		140-260	hängig-steil	O		1			
42	wlv-612038		6.1.2.038		aktuell	Einzellage	Mosel	Bernkastel	Veldenz	Q569812		Kurfürstenlay		k.A.	k.A.	Kirchberg		67		140-300	hängig-steil	S-SW		1			
43	wlv-612039		6.1.2.039		aktuell	Einzellage	Mosel	Bernkastel	Veldenz	Q569812		Kurfürstenlay		k.A.	k.A.	Mühlberg		1		180-220	steil	S-W		1			
44	wlv-612040		6.1.2.040		aktuell	Einzellage	Mosel	Bernkastel	Wintrich	Q373778		Kurfürstenlay		k.A.	k.A.	Großer Herrgott		94		120-200	hängig-steil	S-W-NW		1			
45	wlv-612041		6.1.2.041		aktuell	Einzellage	Mosel	Bernkastel	Wintrich	Q373778		Kurfürstenlay		k.A.	k.A.	Ohligsberg		7		120-220	hängig-steil	SW-W		1			
46	wlv-612042		6.1.2.042		aktuell	Einzellage	Mosel	Bernkastel	Wintrich	Q373778		Kurfürstenlay		k.A.	k.A.	Stefanslay		47		115-200	hängig	WNW		1			
47	wlv-612043		6.1.2.043		aktuell	Einzellage	Mosel	Bernkastel	Bernkastel	Q155622		Kurfürstenlay		k.A.	k.A.	Stephanus-Rosengärtchen		1		150-250	steil	SW		1			
48	wlv-612044		6.1.2.044		aktuell	Einzellage	Mosel	Bernkastel	Wintrich	Q373778		Kurfürstenlay		k.A.	k.A.	Geierslay		4		110-260	steil	W		1			
49	wlv-612045		6.1.2.045		aktuell	Einzellage	Mosel	Bernkastel	Lieser	Q646892		Kurfürstenlay		k.A.	k.A.	Rosenlay		17		110-200	hängig-steil	S-SW		1			
50	wlv-612046		6.1.2.046		aktuell	Einzellage	Mosel	Bernkastel	Lieser	Q646892		Kurfürstenlay		k.A.	k.A.	Niederberg-Helden		29		120-240	steil	SSW		1			
51	wlv-612047		6.1.2.047		aktuell	Einzellage	Mosel	Bernkastel	k.A.	k.A.		Kurfürstenlay		k.A.	k.A.	k.A.		11		180-210	hängig-steil	SW		1			
